name,address,city,state,phone_number
Bangalore Free Legal Services Clinic,"123 MG Road, Shanthala Nagar, Ashok Nagar",Bangalore,Karnataka,080-12345678
District Legal Services Authority - Bangalore,"Nyaya Degula, H Siddaiah Road",Bangalore,Karnataka,080-98765432
Delhi State Legal Services Authority,"Patiala House Courts, India Gate",New Delhi,Delhi,011-23386191
Jan Sahas Foundation,"B-2/19, Safdarjung Enclave, Africa Avenue",New Delhi,Delhi,011-40547978
Mumbai District Legal Services Authority,"City Civil and Sessions Court, Old Secretariat Building",Mumbai,Maharashtra,022-22673757
Majlis Legal Centre,"A/2, Golden Valley, Kalina",Mumbai,Maharashtra,022-26662374
Hyderabad Legal Aid Society,"Opposite Telangana High Court, Chanchalguda",Hyderabad,Telangana,040-27520345
Legal Aid and Awareness Committee,"University of Mysore Campus, Manasagangotri",Mysore,Karnataka,0821-2419519
Jharkhand State Legal Services Authority,"J.S.S. Building, Doranda",Ranchi,Jharkhand,0651-2482859
Assam State Legal Services Authority,"Guwahati High Court Campus, Jail Road",Guwahati,Assam,0361-2635764
